Farm_ID,Date,NDVI,crop label,ground truth month
T003,23-01-2023,0.5525751,Tomato,01-09-2022
T003,23-05-2022,0.28286016,Tomato,01-09-2022
T003,24-12-2022,0.3200692,Tomato,01-09-2022
T003,25-09-2022,0.52380955,Tomato,01-09-2022
T003,25-10-2022,0.5500752,Tomato,01-09-2022
T003,27-02-2023,0.67328477,Tomato,01-09-2022
T003,28-01-2023,0.6488594,Tomato,01-09-2022
T003,28-04-2022,0.2544264,Tomato,01-09-2022
T003,28-05-2022,0.4423408,Tomato,01-09-2022
T003,29-03-2022,0.28563252,Tomato,01-09-2022
T003,29-11-2022,0.29746443,Tomato,01-09-2022
T003,29-12-2022,0.38036808,Tomato,01-09-2022
T004,01-08-2022,0.07897934,Tomato,01-09-2022
T004,03-01-2023,0.48998177,Tomato,01-09-2022
T004,03-04-2022,0.3025292,Tomato,01-09-2022
T004,03-05-2022,0.2423841,Tomato,01-09-2022
T004,04-03-2022,0.24961871,Tomato,01-09-2022
T004,04-12-2022,0.29635036,Tomato,01-09-2022
T004,05-09-2022,0.34078458,Tomato,01-09-2022
T004,07-02-2023,0.6536537,Tomato,01-09-2022
T004,08-01-2023,0.51249236,Tomato,01-09-2022
T004,08-04-2022,0.27748692,Tomato,01-09-2022
T004,09-03-2022,0.25118986,Tomato,01-09-2022
T004,09-11-2022,0.57009345,Tomato,01-09-2022
T004,12-02-2023,0.76008606,Tomato,01-09-2022
T004,12-06-2022,0.5577012,Tomato,01-09-2022
T004,13-01-2023,0.5467671,Tomato,01-09-2022
T004,13-04-2022,0.23423423,Tomato,01-09-2022
T004,14-03-2022,0.28627658,Tomato,01-09-2022
T004,16-08-2022,-0.062052507,Tomato,01-09-2022
T004,17-02-2023,0.7302959,Tomato,01-09-2022
T004,18-01-2023,0.6495434,Tomato,01-09-2022
T004,18-04-2022,0.2140016,Tomato,01-09-2022
T004,19-03-2022,0.2561613,Tomato,01-09-2022
T004,19-11-2022,0.3552795,Tomato,01-09-2022
T004,22-02-2023,0.62946796,Tomato,01-09-2022
T004,23-01-2023,0.5375527,Tomato,01-09-2022
T004,23-05-2022,0.49067244,Tomato,01-09-2022
T004,24-12-2022,0.39067525,Tomato,01-09-2022
T004,25-09-2022,0.43140244,Tomato,01-09-2022
T004,25-10-2022,0.5847119,Tomato,01-09-2022
T004,27-02-2023,0.6115343,Tomato,01-09-2022
T004,28-01-2023,0.70553595,Tomato,01-09-2022
T004,28-04-2022,0.22924304,Tomato,01-09-2022
T004,28-05-2022,0.48969072,Tomato,01-09-2022
T004,29-03-2022,0.2931521,Tomato,01-09-2022
T004,29-11-2022,0.30151057,Tomato,01-09-2022
T004,29-12-2022,0.39977688,Tomato,01-09-2022
T005,01-08-2022,0.2303133,Tomato,01-09-2022
T005,03-01-2023,0.43135887,Tomato,01-09-2022
T005,03-04-2022,0.42389524,Tomato,01-09-2022
T005,03-05-2022,0.4958074,Tomato,01-09-2022
T005,04-03-2022,0.33937198,Tomato,01-09-2022
T005,04-12-2022,0.41658208,Tomato,01-09-2022
T005,05-09-2022,0.5659697,Tomato,01-09-2022
T005,07-02-2023,0.45730782,Tomato,01-09-2022
T005,08-01-2023,0.4577578,Tomato,01-09-2022
T005,08-04-2022,0.39689058,Tomato,01-09-2022
T005,09-03-2022,0.3782936,Tomato,01-09-2022
T005,09-11-2022,0.61273384,Tomato,01-09-2022
T005,12-02-2023,0.53747183,Tomato,01-09-2022
T005,12-06-2022,0.6361702,Tomato,01-09-2022
T005,13-01-2023,0.46378306,Tomato,01-09-2022
T005,13-04-2022,0.4454015,Tomato,01-09-2022
T005,14-03-2022,0.3909866,Tomato,01-09-2022
T005,16-08-2022,0.005529954,Tomato,01-09-2022
T005,17-02-2023,0.51540285,Tomato,01-09-2022
T005,18-01-2023,0.5199425,Tomato,01-09-2022
T005,18-04-2022,0.4633166,Tomato,01-09-2022
T005,19-03-2022,0.37988827,Tomato,01-09-2022
T005,19-11-2022,0.46633723,Tomato,01-09-2022
T005,22-02-2023,0.5163959,Tomato,01-09-2022
T005,23-01-2023,0.46119535,Tomato,01-09-2022
T005,23-05-2022,0.28890416,Tomato,01-09-2022
T005,24-12-2022,0.3716123,Tomato,01-09-2022
T005,25-09-2022,0.47648263,Tomato,01-09-2022
T005,25-10-2022,0.54434997,Tomato,01-09-2022
T005,27-02-2023,0.4841735,Tomato,01-09-2022
T005,28-01-2023,0.4989339,Tomato,01-09-2022
T005,28-04-2022,0.41169977,Tomato,01-09-2022
T005,28-05-2022,0.5059718,Tomato,01-09-2022
T005,29-03-2022,0.41614908,Tomato,01-09-2022
T005,29-11-2022,0.39472887,Tomato,01-09-2022
T005,29-12-2022,0.4221482,Tomato,01-09-2022
T006,02-02-2024,0.47739992,Tomato,01-12-2023
T006,02-04-2024,0.22951488,Tomato,01-12-2023
T006,02-05-2024,0.14168224,Tomato,01-12-2023
T006,02-06-2023,0.26263762,Tomato,01-12-2023
T006,03-03-2024,0.33436534,Tomato,01-12-2023
T006,05-10-2023,0.2545799,Tomato,01-12-2023
T006,06-08-2023,0.07939189,Tomato,01-12-2023
T006,07-02-2024,0.6708418,Tomato,01-12-2023
T006,07-04-2024,0.20107651,Tomato,01-12-2023
T006,08-03-2024,0.3197073,Tomato,01-12-2023
T006,10-10-2023,0.17975831,Tomato,01-12-2023
T006,12-02-2024,0.6057666,Tomato,01-12-2023
T006,12-04-2024,0.14650495,Tomato,01-12-2023
T006,12-06-2023,0.1900299,Tomato,01-12-2023
T006,13-03-2024,0.2680363,Tomato,01-12-2023
T006,15-10-2023,0.15608664,Tomato,01-12-2023
T006,16-08-2023,0.15460889,Tomato,01-12-2023
T006,17-02-2024,0.5441008,Tomato,01-12-2023
T006,18-01-2024,0.68072003,Tomato,01-12-2023
T006,18-03-2024,0.2736792,Tomato,01-12-2023
